id,sku,name,key,value,confidence,evidence
phase3c-70868-outdoor_use-188,70868,FRA-BER Gommalux Uzun Süreli Lastik Parlatıcı Ve Koruyucu Sprey - 750 ml,outdoor_use,true,high,dış mekan/açık
phase3c-71706-application_method-190,71706,FRA-BER Gommanera Blue Lastik Parlatıcı (1:3-5 Konsantre) - 5 kg,application_method,machine,high,machine signal
phase3c-75138-skill_level-191,75138,FRA-BER Gommanera Superlux Solvent Bazlı Uzun Süreli Lastik Parlatıcı - 5 lt,skill_level,pro,high,profesyonel/usta
phase3c-75138-application_method-193,75138,FRA-BER Gommanera Superlux Solvent Bazlı Uzun Süreli Lastik Parlatıcı - 5 lt,application_method,both,high,machine+hand
phase3c-75140-skill_level-195,75140,FRA-BER Gommanera Superlux Solvent Bazlı Uzun Süreli Lastik Parlatıcı - 25 lt,skill_level,pro,high,profesyonel/usta
phase3c-75140-application_method-197,75140,FRA-BER Gommanera Superlux Solvent Bazlı Uzun Süreli Lastik Parlatıcı - 25 lt,application_method,both,high,machine+hand
phase3c-79258-skill_level-198,79258,EPOCA VELA Kimyasal Dayanımlı Püskürtücü Başlık 28/400 - Siyah,skill_level,pro,high,profesyonel/usta
phase3c-79258-application_method-199,79258,EPOCA VELA Kimyasal Dayanımlı Püskürtücü Başlık 28/400 - Siyah,application_method,machine,high,machine signal
phase3c-79472-skill_level-200,79472,"INNOVACAR Araç Yıkama Kovası Seti 20 Lt Siyah (Süzgeç + Vidalı Kapak) - Wash Bucket, Grit Guard",skill_level,pro,high,profesyonel/usta
phase3c-79472-application_method-202,79472,"INNOVACAR Araç Yıkama Kovası Seti 20 Lt Siyah (Süzgeç + Vidalı Kapak) - Wash Bucket, Grit Guard",application_method,machine,high,machine signal
phase3c-79472-pre_coating_safe-203,79472,"INNOVACAR Araç Yıkama Kovası Seti 20 Lt Siyah (Süzgeç + Vidalı Kapak) - Wash Bucket, Grit Guard",pre_coating_safe,true,high,coating öncesi
phase3c-79586-643-volume_ml-204,79586-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Yeşil) - 1000 ml,volume_ml,1000,high,1000 ml
phase3c-79586-643-skill_level-205,79586-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Yeşil) - 1000 ml,skill_level,pro,high,profesyonel/usta
phase3c-79586-643-application_method-207,79586-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Yeşil) - 1000 ml,application_method,both,high,machine+hand
phase3c-79586-643-rinse_required-208,79586-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Yeşil) - 1000 ml,rinse_required,true,high,durulayın/yıkayın
phase3c-79586-644-volume_ml-209,79586-644,FRA-BER Kimyasal Dayanıklı Ölçekli İthal Sprey Başlıklı Şişe (Yeşil) - 1000 ML,volume_ml,1000,high,1000ml
phase3c-79586-644-application_method-210,79586-644,FRA-BER Kimyasal Dayanıklı Ölçekli İthal Sprey Başlıklı Şişe (Yeşil) - 1000 ML,application_method,both,high,machine+hand
phase3c-79587-643-volume_ml-211,79587-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Mavi) - 1000 ml,volume_ml,1000,high,1000 ml
phase3c-79587-643-skill_level-212,79587-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Mavi) - 1000 ml,skill_level,pro,high,profesyonel/usta
phase3c-79587-643-application_method-214,79587-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Mavi) - 1000 ml,application_method,both,high,machine+hand
phase3c-79587-643-rinse_required-215,79587-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Mavi) - 1000 ml,rinse_required,true,high,durulayın/yıkayın
phase3c-79587-644-volume_ml-216,79587-644,FRA-BER Kimyasal Dayanıklı Ölçekli İthal Sprey Başlıklı Şişe (Mavi) - 1000 ML,volume_ml,1000,high,1000ml
phase3c-79587-644-application_method-217,79587-644,FRA-BER Kimyasal Dayanıklı Ölçekli İthal Sprey Başlıklı Şişe (Mavi) - 1000 ML,application_method,both,high,machine+hand
phase3c-79588-643-volume_ml-218,79588-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Siyah) - 1000 ml,volume_ml,1000,high,1000 ml
phase3c-79588-643-skill_level-219,79588-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Siyah) - 1000 ml,skill_level,pro,high,profesyonel/usta
phase3c-79588-643-application_method-221,79588-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Siyah) - 1000 ml,application_method,both,high,machine+hand
phase3c-79588-643-rinse_required-222,79588-643,FRA-BER Kimyasal Dayanıklı Ölçekli Canyon Sprey Başlıklı Şişe (Siyah) - 1000 ml,rinse_required,true,high,durulayın/yıkayın
phase3c-79588-644-volume_ml-223,79588-644,FRA-BER Kimyasal Dayanıklı Ölçekli İthal Sprey Başlıklı Şişe (Siyah) - 1000 ML,volume_ml,1000,high,1000ml
phase3c-79588-644-application_method-224,79588-644,FRA-BER Kimyasal Dayanıklı Ölçekli İthal Sprey Başlıklı Şişe (Siyah) - 1000 ML,application_method,both,high,machine+hand
phase3c-79643-skill_level-226,79643,FRA-BER Canyon Sprey Başlık - 1.3 cc 28/410,skill_level,pro,high,profesyonel/usta
phase3c-79643-application_method-228,79643,FRA-BER Canyon Sprey Başlık - 1.3 cc 28/410,application_method,both,high,machine+hand
phase3c-79643-rinse_required-229,79643,FRA-BER Canyon Sprey Başlık - 1.3 cc 28/410,rinse_required,true,high,durulayın/yıkayın
